"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.size","results.decay","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",1,0,0.618867924528302,0.477493569940019,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
"2","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",1,1e-04,0.607547169811321,0.463254554838207,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
"3","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",1,0.001,0.624528301886792,0.486841401053856,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
"4","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",1,0.01,0.622641509433962,0.485161979697897,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
"5","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",1,0.1,0.586792452830189,0.430610743193525,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
"6","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",2,0,0.679245283018868,0.566172009668442,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
"7","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",2,1e-04,0.681132075471698,0.569426751592357,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
"8","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",2,0.001,0.692452830188679,0.584241706731348,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
"9","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",2,0.01,0.690566037735849,0.582560920555945,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
"10","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","nnet",530,224,6,"noProc",2,0.1,0.652830188679245,0.529320913171485,0.700892857142857,0.594641313742437,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.926829268292683,0.945054945054945,0.846590909090909,0.88,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.894117647058823,0.900523560209424,0.919753086419753,0.885906040268456,0.777777777777778,0.696969696969697,0.564516129032258,0.76,0.7,0.547619047619048,0.729166666666667,0.77027027027027,0.736842105263158,0.613333333333333,0.636363636363636,0.76510067114094,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.102678571428571,0.15625,0.254464285714286,0.241071428571429,0.147321428571429,0.276785714285714,0.334821428571429,0.813414634146342,0.746336996336996,0.787878787878788,0.825135135135135
