"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",1,0.70188679245283,0.59652318040338,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
"2","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",2,0.70377358490566,0.598870029261614,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
"3","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",4,0.716981132075472,0.616323851625918,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
"4","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",8,0.720754716981132,0.621048156450491,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
"5","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",16,0.716981132075472,0.615622642969037,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
"6","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",32,0.715094339622641,0.613319997874057,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
"7","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",64,0.716981132075472,0.61593275199884,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
"8","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",128,0.711320754716981,0.608149182617268,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
"9","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",256,0.715094339622641,0.613213474457494,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
"10","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","svmLinear",530,224,6,"noProc",512,0.716981132075472,0.615826962665146,0.700892857142857,0.593367291644088,0.636315477320197,0.760063369264665,0.330357142857143,1.07146168338839e-29,NA,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.932926829268293,0.923076923076923,0.886363636363636,0.853333333333333,0.788461538461539,0.65,0.6,0.731707317073171,0.88953488372093,0.91304347826087,0.896551724137931,0.901408450704225,0.788461538461538,0.65,0.6,0.731707317073171,0.683333333333333,0.619047619047619,0.625,0.810810810810811,0.732142857142857,0.634146341463415,0.612244897959184,0.769230769230769,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.116071428571429,0.133928571428571,0.267857142857143,0.232142857142857,0.178571428571429,0.223214285714286,0.366071428571429,0.808130081300813,0.771062271062271,0.755681818181818,0.832072072072072
