,namefile,size,masking,sampling,source,method,Count.Train,Count.Test,NoOfCoef,preProc,model,results.Accuracy,results.Kappa,test.Accuracy,test.Kappa,test.AccuracyLower,test.AccuracyUpper,test.AccuracyNull,test.AccuracyPValue,test.McnemarPValue,testCM.Class.Non.rice.Sensitivity,testCM.Class.Reproductive.Sensitivity,testCM.Class.Ripening.Sensitivity,testCM.Class.Vegetative.Sensitivity,testCM.Class.Non.rice.Specificity,testCM.Class.Reproductive.Specificity,testCM.Class.Ripening.Specificity,testCM.Class.Vegetative.Specificity,testCM.Class.Non.rice.Pos.Pred.Value,testCM.Class.Reproductive.Pos.Pred.Value,testCM.Class.Ripening.Pos.Pred.Value,testCM.Class.Vegetative.Pos.Pred.Value,testCM.Class.Non.rice.Neg.Pred.Value,testCM.Class.Reproductive.Neg.Pred.Value,testCM.Class.Ripening.Neg.Pred.Value,testCM.Class.Vegetative.Neg.Pred.Value,testCM.Class.Non.rice.Precision,testCM.Class.Reproductive.Precision,testCM.Class.Ripening.Precision,testCM.Class.Vegetative.Precision,testCM.Class.Non.rice.Recall,testCM.Class.Reproductive.Recall,testCM.Class.Ripening.Recall,testCM.Class.Vegetative.Recall,testCM.Class.Non.rice.F1,testCM.Class.Reproductive.F1,testCM.Class.Ripening.F1,testCM.Class.Vegetative.F1,testCM.Class.Non.rice.Prevalence,testCM.Class.Reproductive.Prevalence,testCM.Class.Ripening.Prevalence,testCM.Class.Vegetative.Prevalence,testCM.Class.Non.rice.Detection.Rate,testCM.Class.Reproductive.Detection.Rate,testCM.Class.Ripening.Detection.Rate,testCM.Class.Vegetative.Detection.Rate,testCM.Class.Non.rice.Detection.Prevalence,testCM.Class.Reproductive.Detection.Prevalence,testCM.Class.Ripening.Detection.Prevalence,testCM.Class.Vegetative.Detection.Prevalence,testCM.Class.Non.rice.Balanced.Accuracy,testCM.Class.Reproductive.Balanced.Accuracy,testCM.Class.Ripening.Balanced.Accuracy,testCM.Class.Vegetative.Balanced.Accuracy
1,WithMasking_LOOCV_LS8_fda_noProc_0001_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,fda,530,224,5,noProc,Phase ~ Blue + Green + Red + NIR + SWIR1,0.720754717,0.621086598,0.665178571,0.544986729,0.599264669,0.726652747,0.330357143,1.45E-24,NA,0.633333333,0.571428571,0.604166667,0.783783784,0.951219512,0.917582418,0.852272727,0.826666667,0.826086957,0.615384615,0.527272727,0.69047619,0.876404494,0.902702703,0.887573964,0.885714286,0.826086957,0.615384615,0.527272727,0.69047619,0.633333333,0.571428571,0.604166667,0.783783784,0.716981132,0.592592593,0.563106796,0.734177215,0.267857143,0.1875,0.214285714,0.330357143,0.169642857,0.107142857,0.129464286,0.258928571,0.205357143,0.174107143,0.245535714,0.375,0.792276423,0.744505495,0.728219697,0.805225225
2,WithMasking_LOOCV_LS8_fda_noProc_0002_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,fda,530,224,23,noProc,Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI,0.703773585,0.599509073,0.651785714,0.529614473,0.585473136,0.71402021,0.330357143,8.75E-23,NA,0.616666667,0.619047619,0.6875,0.675675676,0.902439024,0.934065934,0.840909091,0.853333333,0.698113208,0.684210526,0.540983607,0.694444444,0.865497076,0.913978495,0.90797546,0.842105263,0.698113208,0.684210526,0.540983607,0.694444444,0.616666667,0.619047619,0.6875,0.675675676,0.654867257,0.65,0.605504587,0.684931507,0.267857143,0.1875,0.214285714,0.330357143,0.165178571,0.116071429,0.147321429,0.223214286,0.236607143,0.169642857,0.272321429,0.321428571,0.759552846,0.776556777,0.764204545,0.764504505
3,WithMasking_LOOCV_LS8_fda_noProc_0003_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,fda,530,224,2,noProc,Phase ~ LSWI + EVI,0.667924528,0.551859485,0.616071429,0.480362538,0.548953516,0.680073555,0.330357143,2.10E-18,NA,0.683333333,0.476190476,0.625,0.635135135,0.902439024,0.923076923,0.823863636,0.833333333,0.719298246,0.588235294,0.491803279,0.652777778,0.886227545,0.884210526,0.889570552,0.822368421,0.719298246,0.588235294,0.491803279,0.652777778,0.683333333,0.476190476,0.625,0.635135135,0.700854701,0.526315789,0.550458716,0.643835616,0.267857143,0.1875,0.214285714,0.330357143,0.183035714,0.089285714,0.133928571,0.209821429,0.254464286,0.151785714,0.272321429,0.321428571,0.792886179,0.6996337,0.724431818,0.734234234
4,WithMasking_LOOCV_LS8_fda_noProc_0004_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,fda,530,224,1,noProc,Phase ~ EVI,0.509433962,0.343915747,0.495535714,0.3251573,0.428269413,0.562921715,0.330357143,2.36E-07,0.00022309,0.666666667,0.5,0.5625,0.310810811,0.731707317,0.923076923,0.801136364,0.866666667,0.476190476,0.6,0.435483871,0.534883721,0.857142857,0.888888889,0.87037037,0.718232044,0.476190476,0.6,0.435483871,0.534883721,0.666666667,0.5,0.5625,0.310810811,0.555555556,0.545454545,0.490909091,0.393162393,0.267857143,0.1875,0.214285714,0.330357143,0.178571429,0.09375,0.120535714,0.102678571,0.375,0.15625,0.276785714,0.191964286,0.699186992,0.711538462,0.681818182,0.588738739
5,WithMasking_LOOCV_LS8_fda_noProc_0005_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,fda,530,224,6,noProc,Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2,0.722641509,0.624426951,0.691964286,0.582495948,0.627014289,0.751749626,0.330357143,2.32E-28,NA,0.7,0.571428571,0.666666667,0.77027027,0.93902439,0.928571429,0.852272727,0.866666667,0.807692308,0.648648649,0.551724138,0.74025974,0.895348837,0.903743316,0.903614458,0.884353741,0.807692308,0.648648649,0.551724138,0.74025974,0.7,0.571428571,0.666666667,0.77027027,0.75,0.607594937,0.603773585,0.754966887,0.267857143,0.1875,0.214285714,0.330357143,0.1875,0.107142857,0.142857143,0.254464286,0.232142857,0.165178571,0.258928571,0.34375,0.819512195,0.75,0.759469697,0.818468468
6,WithMasking_LOOCV_LS8_nnet_noProc_0001_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,nnet,530,224,5,noProc,Phase ~ Blue + Green + Red + NIR + SWIR1,0.733962264,0.640454952,0.700892857,0.594685103,0.636315477,0.760063369,0.330357143,1.07E-29,NA,0.7,0.571428571,0.666666667,0.797297297,0.926829268,0.923076923,0.863636364,0.886666667,0.777777778,0.631578947,0.571428571,0.776315789,0.894117647,0.903225806,0.904761905,0.898648649,0.777777778,0.631578947,0.571428571,0.776315789,0.7,0.571428571,0.666666667,0.797297297,0.736842105,0.6,0.615384615,0.786666667,0.267857143,0.1875,0.214285714,0.330357143,0.1875,0.107142857,0.142857143,0.263392857,0.241071429,0.169642857,0.25,0.339285714,0.813414634,0.747252747,0.765151515,0.841981982
7,WithMasking_LOOCV_LS8_nnet_noProc_0002_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,nnet,530,224,23,noProc,Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI,0.728301887,0.632660134,0.665178571,0.546607654,0.599264669,0.726652747,0.330357143,1.45E-24,NA,0.616666667,0.619047619,0.604166667,0.77027027,0.920731707,0.906593407,0.863636364,0.86,0.74,0.604651163,0.547169811,0.730769231,0.867816092,0.91160221,0.888888889,0.883561644,0.74,0.604651163,0.547169811,0.730769231,0.616666667,0.619047619,0.604166667,0.77027027,0.672727273,0.611764706,0.574257426,0.75,0.267857143,0.1875,0.214285714,0.330357143,0.165178571,0.116071429,0.129464286,0.254464286,0.223214286,0.191964286,0.236607143,0.348214286,0.768699187,0.762820513,0.733901515,0.815135135
8,WithMasking_LOOCV_LS8_nnet_noProc_0003_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,nnet,530,224,2,noProc,Phase ~ LSWI + EVI,0.666037736,0.547556923,0.602678571,0.45398773,0.535351981,0.667249605,0.330357143,6.77E-17,8.35E-09,0.566666667,0.357142857,0.541666667,0.810810811,0.963414634,0.928571429,0.829545455,0.733333333,0.85,0.535714286,0.464285714,0.6,0.858695652,0.862244898,0.869047619,0.887096774,0.85,0.535714286,0.464285714,0.6,0.566666667,0.357142857,0.541666667,0.810810811,0.68,0.428571429,0.5,0.689655172,0.267857143,0.1875,0.214285714,0.330357143,0.151785714,0.066964286,0.116071429,0.267857143,0.178571429,0.125,0.25,0.446428571,0.76504065,0.642857143,0.685606061,0.772072072
9,WithMasking_LOOCV_LS8_nnet_noProc_0004_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,nnet,530,224,1,noProc,Phase ~ EVI,0.530188679,0.373445126,0.491071429,0.319402985,0.423872721,0.558509537,0.330357143,4.74E-07,0.00032852,0.65,0.5,0.5625,0.310810811,0.731707317,0.923076923,0.795454545,0.866666667,0.469879518,0.6,0.428571429,0.534883721,0.85106383,0.888888889,0.869565217,0.718232044,0.469879518,0.6,0.428571429,0.534883721,0.65,0.5,0.5625,0.310810811,0.545454545,0.545454545,0.486486486,0.393162393,0.267857143,0.1875,0.214285714,0.330357143,0.174107143,0.09375,0.120535714,0.102678571,0.370535714,0.15625,0.28125,0.191964286,0.690853659,0.711538462,0.678977273,0.588738739
10,WithMasking_LOOCV_LS8_nnet_noProc_0005_2018_indramayu_edit.csv,100,WithMasking,LOOCV,LS8,nnet,530,224,6,noProc,Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2,0.741509434,0.650851353,0.700892857,0.594641314,0.636315477,0.760063369,0.330357143,1.07E-29,NA,0.7,0.547619048,0.729166667,0.77027027,0.926829268,0.945054945,0.846590909,0.88,0.777777778,0.696969697,0.564516129,0.76,0.894117647,0.90052356,0.919753086,0.88590604,0.777777778,0.696969697,0.564516129,0.76,0.7,0.547619048,0.729166667,0.77027027,0.736842105,0.613333333,0.636363636,0.765100671,0.267857143,0.1875,0.214285714,0.330357143,0.1875,0.102678571,0.15625,0.254464286,0.241071429,0.147321429,0.276785714,0.334821429,0.813414634,0.746336996,0.787878788,0.825135135
