"","Overall","Bare land","Reproductive","Ripening","Vegetative"
"Blue",52.2669844857457,52.2669844857457,52.2669844857457,52.2669844857457,52.2669844857457
"Green",98.7929800964037,98.7929800964037,98.7929800964037,98.7929800964037,98.7929800964037
"Red",28.7188560271383,28.7188560271383,28.7188560271383,28.7188560271383,28.7188560271383
"NIR",54.8446730760067,54.8446730760067,54.8446730760067,54.8446730760067,54.8446730760067
"SWIR1",35.0044626146766,35.0044626146766,35.0044626146766,35.0044626146766,35.0044626146766
"SWIR2",100,100,100,100,100
"CVI",93.4828908628408,93.4828908628408,93.4828908628408,93.4828908628408,93.4828908628408
"DVI",46.4611556276678,46.4611556276678,46.4611556276678,46.4611556276678,46.4611556276678
"EGI",59.3178250602086,59.3178250602086,59.3178250602086,59.3178250602086,59.3178250602086
"EVI",44.0358025252198,44.0358025252198,44.0358025252198,44.0358025252198,44.0358025252198
"EVI2",54.147993680209,54.147993680209,54.147993680209,54.147993680209,54.147993680209
"GLI",80.8735762032544,80.8735762032544,80.8735762032544,80.8735762032544,80.8735762032544
"GNDVI",34.4427303554443,34.4427303554443,34.4427303554443,34.4427303554443,34.4427303554443
"GSAVI",47.138920895344,47.138920895344,47.138920895344,47.138920895344,47.138920895344
"LSWI",73.4099638077746,73.4099638077746,73.4099638077746,73.4099638077746,73.4099638077746
"MNDWI",41.1674118071527,41.1674118071527,41.1674118071527,41.1674118071527,41.1674118071527
"MSAVI",39.4388948115669,39.4388948115669,39.4388948115669,39.4388948115669,39.4388948115669
"NDVI",26.2601901973459,26.2601901973459,26.2601901973459,26.2601901973459,26.2601901973459
"NDWI",34.3713698486509,34.3713698486509,34.3713698486509,34.3713698486509,34.3713698486509
"SAVI",69.4595332114536,69.4595332114536,69.4595332114536,69.4595332114536,69.4595332114536
"SR",1.20241439106019,1.20241439106019,1.20241439106019,1.20241439106019,1.20241439106019
"TVI",6.56886655023265e-16,1.31377331004653e-15,1.31377331004653e-15,0,0
