"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ EVI","rf",530,224,1,"noProc",1,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
"2","Phase ~ EVI","rf",530,224,1,"noProc",2,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
"3","Phase ~ EVI","rf",530,224,1,"noProc",3,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
"4","Phase ~ EVI","rf",530,224,1,"noProc",4,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
"5","Phase ~ EVI","rf",530,224,1,"noProc",5,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
"6","Phase ~ EVI","rf",530,224,1,"noProc",6,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
"7","Phase ~ EVI","rf",530,224,1,"noProc",7,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
"8","Phase ~ EVI","rf",530,224,1,"noProc",8,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
"9","Phase ~ EVI","rf",530,224,1,"noProc",9,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
"10","Phase ~ EVI","rf",530,224,1,"noProc",10,0.405660377358491,0.196838347781744,0.4375,0.238711765657873,0.371517274339946,0.505159062559034,0.330357142857143,0.000531988018196767,0.0442647626440365,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.810975609756098,0.912087912087912,0.772727272727273,0.74,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.801204819277108,0.864583333333333,0.84472049689441,0.725490196078431,0.46551724137931,0.5,0.365079365079365,0.450704225352113,0.45,0.380952380952381,0.479166666666667,0.432432432432432,0.457627118644068,0.432432432432432,0.414414414414414,0.441379310344828,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.120535714285714,0.0714285714285714,0.102678571428571,0.142857142857143,0.258928571428571,0.142857142857143,0.28125,0.316964285714286,0.630487804878049,0.646520146520146,0.62594696969697,0.586216216216216
