"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",1,0.641509433962264,0.516177078228449,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
"2","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",2,0.645283018867924,0.52135274054859,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
"3","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",4,0.645283018867924,0.52135274054859,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
"4","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",8,0.649056603773585,0.526485676407862,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
"5","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",16,0.649056603773585,0.526485676407862,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
"6","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",32,0.649056603773585,0.526485676407862,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
"7","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",64,0.649056603773585,0.526485676407862,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
"8","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",128,0.649056603773585,0.526485676407862,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
"9","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",256,0.647169811320755,0.523969625506121,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
"10","Phase ~ LSWI + EVI","svmLinear",530,224,2,"noProc",512,0.647169811320755,0.523969625506121,0.629464285714286,0.498435308082443,0.562605361308958,0.692846877833806,0.330357142857143,5.51629668147776e-20,NA,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.926829268292683,0.917582417582418,0.8125,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.888888888888889,0.878947368421053,0.888198757763975,0.846666666666667,0.773584905660377,0.558823529411765,0.476190476190476,0.689189189189189,0.683333333333333,0.452380952380952,0.625,0.689189189189189,0.725663716814159,0.5,0.54054054054054,0.689189189189189,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.0848214285714286,0.133928571428571,0.227678571428571,0.236607142857143,0.151785714285714,0.28125,0.330357142857143,0.805081300813008,0.684981684981685,0.71875,0.767927927927928
